date,time ,open ,high,low ,close,volume
31-12-2012,9:20:000,741.5,741.5,725.05,729,2066
31-12-2012,9:25:000,728.8,729.5,725,727.95,765
31-12-2012,9:30:000,727.95,729.9,727.75,729.9,673
31-12-2012,9:35:000,728.05,729.7,727.05,727.9,776
31-12-2012,9:40:000,728.8,729.8,727.65,729.25,241
31-12-2012,9:45:000,729.25,729.25,727.8,727.8,107
31-12-2012,9:50:000,728.85,728.85,727.8,727.8,102
31-12-2012,9:55:000,728.05,728.05,727.7,727.7,201
31-12-2012,10:00:000,727,727,725,726,310
31-12-2012,10:05:000,725.65,727,725.65,727,81
31-12-2012,10:10:000,727,729,726,726.95,827
31-12-2012,10:15:000,727,727.9,727,727.85,75
31-12-2012,10:20:000,727.85,727.85,725.6,726.9,455
31-12-2012,10:25:000,726.65,726.95,726.65,726.9,89
31-12-2012,10:30:000,726.6,726.85,726.6,726.65,187
31-12-2012,10:35:000,726.65,726.65,725.6,725.6,171
31-12-2012,10:40:000,725.6,726.8,725,726.75,735
31-12-2012,10:45:000,725.35,726.35,725,726.35,176
31-12-2012,10:50:000,725.05,729.5,725.05,728.15,2640
31-12-2012,10:55:000,728,728.95,727.1,728,684
31-12-2012,11:00:000,727.3,729,727.3,728.6,285
31-12-2012,11:05:000,729.4,729.4,728.15,728.15,154
31-12-2012,11:10:000,728.5,729,728.15,729,168
31-12-2012,11:15:000,729,729.9,729,729,662
31-12-2012,11:20:000,729.05,729.05,728,728.3,716
31-12-2012,11:25:000,728.35,728.6,728.35,728.45,26
31-12-2012,11:30:000,728.55,729.65,728.45,729.6,246
31-12-2012,11:35:000,729,729.8,728.8,729,450
31-12-2012,11:40:000,729.6,729.6,728.15,728.2,340
31-12-2012,11:45:000,728.6,729.4,728.3,728.3,182
31-12-2012,11:50:000,728.2,729.45,728.15,729.45,75
31-12-2012,11:55:000,729.75,729.75,727,727,2357
31-12-2012,12:00:000,727,728.3,726,726.9,962
31-12-2012,12:05:000,726.85,726.85,725.95,726.5,69
31-12-2012,12:10:000,725.5,726.75,722,724.8,1160
31-12-2012,12:15:000,725,725,724.6,724.95,419
31-12-2012,12:20:000,725,725,715.9,721,3092
31-12-2012,12:25:000,721.9,728.25,721.85,725.15,2289
31-12-2012,12:30:000,726,726,724.2,724.2,191
31-12-2012,12:35:000,725,725.5,724.2,725.5,231
31-12-2012,12:40:000,724.5,725.85,724.5,725.85,153
31-12-2012,12:45:000,725.85,725.85,725.85,725.85,11
31-12-2012,12:50:000,725.5,725.8,725.5,725.5,380
31-12-2012,12:55:000,725.65,726.55,725.65,725.65,728
31-12-2012,13:00:000,726,726,725.65,725.65,289
31-12-2012,13:05:000,726,726,724.2,725.15,437
31-12-2012,13:10:000,725.15,725.95,725.15,725.55,100
31-12-2012,13:15:000,725.6,726,725.2,725.2,181
31-12-2012,13:20:000,725.1,726,725.1,725.1,194
31-12-2012,13:25:000,725.1,727,725,725,1087
31-12-2012,13:30:000,724.95,725.9,724.7,725,683
31-12-2012,13:35:000,725,725,724.5,724.9,893
31-12-2012,13:40:000,724.5,724.5,724.5,724.5,60
31-12-2012,13:45:000,724.9,724.9,724.5,724.5,25
31-12-2012,13:50:000,724.95,725,724.5,724.5,95
31-12-2012,13:55:000,725,725,724.5,725,110
31-12-2012,14:00:000,725,725,724.25,725,115
31-12-2012,14:05:000,725,725,720.1,722,949
31-12-2012,14:10:000,722,724.7,722,724.35,504
31-12-2012,14:15:000,723.1,724.2,723.1,723.25,221
31-12-2012,14:20:000,724.2,724.8,723.7,723.7,191
31-12-2012,14:25:000,724.75,724.75,723.75,724.65,117
31-12-2012,14:30:000,724.65,724.7,723,724.65,247
31-12-2012,14:35:000,723.8,723.8,723,723.5,187
31-12-2012,14:40:000,723.05,725,723.05,725,2225
31-12-2012,14:45:000,725,725,724.1,725,1280
31-12-2012,14:50:000,724.5,724.6,724.5,724.6,160
31-12-2012,14:55:000,725,725,724.6,724.9,189
31-12-2012,15:00:000,724.9,724.95,724.05,724.05,116
31-12-2012,15:05:000,724.9,725,724.05,724.9,1428
31-12-2012,15:10:000,725,725,724.05,724.2,276
31-12-2012,15:15:000,724.75,725,724.15,724.15,1514
31-12-2012,15:20:000,724.15,724.95,723.55,723.55,1237
31-12-2012,15:25:000,724,724,722.05,723,963
31-12-2012,15:30:000,723.45,724,722.05,722.05,1612
01-01-2013,9:20:000,741.5,741.5,725.05,729,2066
01-01-2013,9:25:000,728.8,729.5,725,727.95,765
01-01-2013,9:30:000,727.95,729.9,727.75,729.9,673
01-01-2013,9:35:000,728.05,729.7,727.05,727.9,776
01-01-2013,9:40:000,728.8,729.8,727.65,729.25,241
01-01-2013,9:45:000,729.25,729.25,727.8,727.8,107
01-01-2013,9:50:000,728.85,728.85,727.8,727.8,102
01-01-2013,9:55:000,728.05,728.05,727.7,727.7,201
01-01-2013,10:00:000,727,727,725,726,310
01-01-2013,10:05:000,725.65,727,725.65,727,81
01-01-2013,10:10:000,727,729,726,726.95,827
01-01-2013,10:15:000,727,727.9,727,727.85,75
01-01-2013,10:20:000,727.85,727.85,725.6,726.9,455
01-01-2013,10:25:000,726.65,726.95,726.65,726.9,89
01-01-2013,10:30:000,726.6,726.85,726.6,726.65,187
01-01-2013,10:35:000,726.65,726.65,725.6,725.6,171
01-01-2013,10:40:000,725.6,726.8,725,726.75,735
01-01-2013,10:45:000,725.35,726.35,725,726.35,176
01-01-2013,10:50:000,725.05,729.5,725.05,728.15,2640
01-01-2013,10:55:000,728,728.95,727.1,728,684
01-01-2013,11:00:000,727.3,729,727.3,728.6,285
01-01-2013,11:05:000,729.4,729.4,728.15,728.15,154
01-01-2013,11:10:000,728.5,729,728.15,729,168
01-01-2013,11:15:000,729,729.9,729,729,662
01-01-2013,11:20:000,729.05,729.05,728,728.3,716
01-01-2013,11:25:000,728.35,728.6,728.35,728.45,26
01-01-2013,11:30:000,728.55,729.65,728.45,729.6,246
01-01-2013,11:35:000,729,729.8,728.8,729,450
01-01-2013,11:40:000,729.6,729.6,728.15,728.2,340
01-01-2013,11:45:000,728.6,729.4,728.3,728.3,182
01-01-2013,11:50:000,728.2,729.45,728.15,729.45,75
01-01-2013,11:55:000,729.75,729.75,727,727,2357
01-01-2013,12:00:000,727,728.3,726,726.9,962
01-01-2013,12:05:000,726.85,726.85,725.95,726.5,69
01-01-2013,12:10:000,725.5,726.75,722,724.8,1160
01-01-2013,12:15:000,725,725,724.6,724.95,419
01-01-2013,12:20:000,725,725,715.9,721,3092
01-01-2013,12:25:000,721.9,728.25,721.85,725.15,2289
01-01-2013,12:30:000,726,726,724.2,724.2,191
01-01-2013,12:35:000,725,725.5,724.2,725.5,231
01-01-2013,12:40:000,724.5,725.85,724.5,725.85,153
01-01-2013,12:45:000,725.85,725.85,725.85,725.85,11
01-01-2013,12:50:000,725.5,725.8,725.5,725.5,380
01-01-2013,12:55:000,725.65,726.55,725.65,725.65,728
01-01-2013,13:00:000,726,726,725.65,725.65,289
01-01-2013,13:05:000,726,726,724.2,725.15,437
01-01-2013,13:10:000,725.15,725.95,725.15,725.55,100
01-01-2013,13:15:000,725.6,726,725.2,725.2,181
01-01-2013,13:20:000,725.1,726,725.1,725.1,194
01-01-2013,13:25:000,725.1,727,725,725,1087
01-01-2013,13:30:000,724.95,725.9,724.7,725,683
01-01-2013,13:35:000,725,725,724.5,724.9,893
01-01-2013,13:40:000,724.5,724.5,724.5,724.5,60
01-01-2013,13:45:000,724.9,724.9,724.5,724.5,25
01-01-2013,13:50:000,724.95,725,724.5,724.5,95
01-01-2013,13:55:000,725,725,724.5,725,110
01-01-2013,14:00:000,725,725,724.25,725,115
01-01-2013,14:05:000,725,725,720.1,722,949
01-01-2013,14:10:000,722,724.7,722,724.35,504
01-01-2013,14:15:000,723.1,724.2,723.1,723.25,221
01-01-2013,14:20:000,724.2,724.8,723.7,723.7,191
01-01-2013,14:25:000,724.75,724.75,723.75,724.65,117
01-01-2013,14:30:000,724.65,724.7,723,724.65,247
01-01-2013,14:35:000,723.8,723.8,723,723.5,187
01-01-2013,14:40:000,723.05,725,723.05,725,2225
01-01-2013,14:45:000,725,725,724.1,725,1280
01-01-2013,14:50:000,724.5,724.6,724.5,724.6,160
01-01-2013,14:55:000,725,725,724.6,724.9,189
01-01-2013,15:00:000,724.9,724.95,724.05,724.05,116
01-01-2013,15:05:000,724.9,725,724.05,724.9,1428
01-01-2013,15:10:000,725,725,724.05,724.2,276
01-01-2013,15:15:000,724.75,725,724.15,724.15,1514
01-01-2013,15:20:000,724.15,724.95,723.55,723.55,1237
01-01-2013,15:25:000,724,724,722.05,723,963
01-01-2013,15:30:000,723.45,724,722.05,722.05,1612
02-01-2013,9:20:000,728,732.25,725,729.8,2632
02-01-2013,9:25:000,729.05,730,729,729.5,1821
02-01-2013,9:30:000,729.95,729.95,727,728.5,1088
02-01-2013,9:35:000,728.5,728.5,725,726.55,1659
02-01-2013,9:40:000,727.75,728,726.5,726.8,1068
02-01-2013,9:45:000,726.5,726.5,724.4,726,1674
02-01-2013,9:50:000,726,726,724.5,725,746
02-01-2013,9:55:000,725.45,726,724.5,725.5,829
02-01-2013,10:00:000,724.5,725.95,724.4,724.65,406
02-01-2013,10:05:000,725,725.95,724.05,724.1,622
02-01-2013,10:10:000,724.75,724.95,722.1,723,1329
02-01-2013,10:15:000,723,723.25,722.2,723,997
